freebase_actor_id,CanonicalCategory,Class,Winner
/m/015c4g,ACTOR IN A LEADING ROLE,Acting,False
/m/015c4g,ACTOR IN A LEADING ROLE,Acting,True
/m/015c4g,ACTOR IN A LEADING ROLE,Acting,False
/m/015c4g,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/015c4g,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/015cbq,,,False
/m/015csj,,,False
/m/015d2r,ACTOR,Acting,False
/m/015d3h,ACTOR,Acting,True
/m/015dcj,ACTOR,Acting,False
/m/015djp,ACTOR,Acting,False
/m/015dlv,ACTOR,Acting,False
/m/015dnt,ACTOR,Acting,False
/m/015dqj,ACTOR,Acting,True
/m/015dqj,ACTOR,Acting,False
/m/015dqj,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/015dqz,ACTOR,Acting,False
/m/015dx,,,False
/m/015f7,,,False
/m/015g_7,ACTOR,Acting,False
/m/015gjr,ACTOR,Acting,False
/m/015gjr,ACTOR IN A LEADING ROLE,Acting,False
/m/015gjr,ACTOR IN A LEADING ROLE,Acting,False
/m/015grj,ACTOR,Acting,False
/m/015grj,ACTOR,Acting,False
/m/015grj,ACTOR IN A SUPPORTING ROLE,Acting,True
/m/015grj,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/015gw6,ACTOR,Acting,False
/m/015gx1,ACTOR,Acting,False
/m/015gy7,ACTOR IN A SUPPORTING ROLE,Acting,True
/m/015gy7,ACTOR,Acting,False
/m/015gy7,ACTOR IN A SUPPORTING ROLE,Acting,True
/m/015ksl,,,False
/m/015kt_,,,False
/m/015lhm,,,False
/m/015mrk,,,False
/m/015nd2,ACTRESS,Acting,False
/m/015nhn,ACTRESS,Acting,True
/m/015nhn,ACTRESS,Acting,False
/m/015nhn,ACTRESS,Acting,True
/m/015nhn,ACTRESS,Acting,False
/m/015njf,,,False
/m/015p37,,,False
/m/015p3p,,,False
/m/015pkc,,,False
/m/015pqq,,,False
/m/015pvh,,,False
/m/015pxr,,,False
/m/015q7v,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/015q7v,ACTOR IN A LEADING ROLE,Acting,False
/m/015qmd,,,False
/m/015qt5,ACTOR,Acting,True
/m/015rhv,,,False
/m/015rkw,,,False
/m/015t56,,,False
/m/015t7v,,,False
/m/015tyq,,,False
/m/015vq_,ACTOR IN A LEADING ROLE,Acting,False
/m/015vql,,,False
/m/015wfg,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/015wfg,ACTOR IN A LEADING ROLE,Acting,False
/m/015wnl,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/015wnl,ACTOR IN A LEADING ROLE,Acting,False
/m/0161c2,,,False
/m/0161h5,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/0161h5,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/0161h5,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/0161sp,,,False
/m/0163kf,,,False
/m/0163r3,,,False
/m/0163t3,,,False
/m/0164c4,,,False
/m/0164nb,,,False
/m/0164r9,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/0165cp,,,False
/m/0165ys,,,False
/m/0168cl,,,False
/m/0168dy,,,False
/m/0169dl,ACTOR IN A LEADING ROLE,Acting,False
/m/0169dl,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/0169dl,ACTOR IN A LEADING ROLE,Acting,False
/m/0169ff,,,False
/m/0169v2,,,False
/m/016_d_,,,False
/m/016_mj,,,False
/m/016b6z,,,False
/m/016bpb,,,False
/m/016bx2,,,False
/m/016cdn,,,False
/m/016dgz,ACTOR IN A SUPPORTING ROLE,Acting,False
/m/016dp0,,,False
/m/016dql,ACTRESS IN A SUPPORTING ROLE,Acting,False
/m/016dql,ACTRESS IN A SUPPORTING ROLE,Acting,False
